000001,上证指数,SZZS,ss
600000,浦发银行,PFYH,ss
600004,白云机场,BYJC,ss
600005,武钢股份,WGGF,ss
600006,东风汽车,DFQC,ss
600007,中国国贸,ZGGM,ss
600008,首创股份,SCGF,ss
600009,上海机场,SHJC,ss
600010,包钢股份,BGGF,ss
600011,华能国际,HNGJ,ss
600012,皖通高速,WTGS,ss
600015,华夏银行,HXYH,ss
600016,民生银行,MSYH,ss
600017,日照港,RZG,ss
600018,上港集团,SGJT,ss
600019,宝钢股份,BGGF,ss
600020,中原高速,ZYGS,ss
600021,上海电力,SHDL,ss
600022,山东钢铁,SDGT,ss
600023,浙能电力,ZNDL,ss
600026,中海发展,ZHFZ,ss
600027,华电国际,HDGJ,ss
600028,中国石化,ZGSH,ss
600029,南方航空,NFHK,ss
600030,中信证券,ZXZQ,ss
600031,三一重工,SYZG,ss
600033,福建高速,FJGS,ss
600035,楚天高速,CTGS,ss
600036,招商银行,ZSYH,ss
600037,歌华有线,GHYX,ss
600038,中直股份,ZZGF,ss
600039,四川路桥,SCLQ,ss
600048,保利地产,BLDC,ss
600050,中国联通,ZGLT,ss
600051,宁波联合,NBLH,ss
600052,浙江广厦,ZJGS,ss
600053,九鼎投资,JDTZ,ss
600054,黄山旅游,HSLY,ss
600055,华润万东,HRWD,ss
600056,中国医药,ZGYY,ss
600057,象屿股份,XYGF,ss
600058,五矿发展,WKFZ,ss
600059,古越龙山,GYLS,ss
600060,海信电器,HXDQ,ss
600061,国投安信,GTAX,ss
600062,华润双鹤,HRSH,ss
600063,皖维高新,WWGX,ss
600064,南京高科,NJGK,ss
600066,宇通客车,YTKC,ss
600067,冠城大通,GCDT,ss
600068,葛洲坝,GZB,ss
600069,*ST银鸽,*STYG,ss
600070,浙江富润,ZJFR,ss
600071,凤凰光学,FHGX,ss
600072,钢构工程,GGGC,ss
600073,上海梅林,SHML,ss
600074,保千里,BQL,ss
600075,新疆天业,XJTY,ss
600076,康欣新材,KXXC,ss
600077,宋都股份,SDGF,ss
600078,澄星股份,CXGF,ss
600079,人福医药,RFYY,ss
600080,金花股份,JHGF,ss
600081,东风科技,DFKJ,ss
600082,海泰发展,HTFZ,ss
600083,博信股份,BXGF,ss
600084,中葡股份,ZPGF,ss
600085,同仁堂,TRT,ss
600086,东方金钰,DFJY,ss
600088,中视传媒,ZSCM,ss
600089,特变电工,TBDG,ss
600090,啤酒花,PJH,ss
600091,*ST明科,*STMK,ss
600093,禾嘉股份,HJGF,ss
600094,大名城,DMC,ss
600095,哈高科,HGK,ss
600096,云天化,YTH,ss
600097,开创国际,KCGJ,ss
600098,广州发展,GZFZ,ss
600099,林海股份,LHGF,ss
600100,同方股份,TFGF,ss
600101,明星电力,MXDL,ss
600103,青山纸业,QSZY,ss
600104,上汽集团,SQJT,ss
600105,永鼎股份,YDGF,ss
600106,重庆路桥,CQLQ,ss
600107,美尔雅,MEY,ss
600108,亚盛集团,YSJT,ss
600109,国金证券,GJZQ,ss
600110,诺德股份,NDGF,ss
600111,北方稀土,BFXT,ss
600112,天成控股,TCKG,ss
600113,浙江东日,ZJDR,ss
600114,东睦股份,DMGF,ss
600115,东方航空,DFHK,ss
600116,三峡水利,SXSL,ss
600117,西宁特钢,XNTG,ss
600118,中国卫星,ZGWX,ss
600119,长江投资,CJTZ,ss
600120,浙江东方,ZJDF,ss
600121,郑州煤电,ZZMD,ss
600122,宏图高科,HTGK,ss
600123,兰花科创,LHKC,ss
600125,铁龙物流,TLWL,ss
600126,杭钢股份,HGGF,ss
600127,金健米业,JJMY,ss
600128,弘业股份,HYGF,ss
600129,太极集团,TJJT,ss
600130,波导股份,BDGF,ss
600131,岷江水电,MJSD,ss
600132,重庆啤酒,CQPJ,ss
600133,东湖高新,DHGX,ss
600135,乐凯胶片,LKJP,ss
600136,道博股份,DBGF,ss
600137,浪莎股份,LSGF,ss
600138,中青旅,ZQL,ss
600139,西部资源,XBZY,ss
600141,兴发集团,XFJT,ss
600143,金发科技,JFKJ,ss
600145,*ST新亿,*STXY,ss
600146,商赢环球,SYHQ,ss
600148,长春一东,CCYD,ss
600149,廊坊发展,LFFZ,ss
600150,中国船舶,ZGCB,ss
600151,航天机电,HTJD,ss
600152,维科精华,WKJH,ss
600153,建发股份,JFGF,ss
600155,宝硕股份,BSGF,ss
600156,华升股份,HSGF,ss
600157,永泰能源,YTNY,ss
600158,中体产业,ZTCY,ss
600159,大龙地产,DLDC,ss
600160,巨化股份,JHGF,ss
600161,天坛生物,TTSW,ss
600162,香江控股,XJKG,ss
600163,中闽能源,ZMNY,ss
600165,新日恒力,XRHL,ss
600166,福田汽车,FTQC,ss
600167,联美控股,LMKG,ss
600168,武汉控股,WHKG,ss
600169,太原重工,TYZG,ss
600170,上海建工,SHJG,ss
600171,上海贝岭,SHBL,ss
600172,黄河旋风,HHXF,ss
600173,卧龙地产,WLDC,ss
600175,美都能源,MDNY,ss
600176,中国巨石,ZGJS,ss
600177,雅戈尔,YGE,ss
600178,东安动力,DADL,ss
600179,ST黑化,STHH,ss
600180,瑞茂通,RMT,ss
600182,S佳通,SJT,ss
600183,生益科技,SYKJ,ss
600184,光电股份,GDGF,ss
600185,格力地产,GLDC,ss
600186,莲花健康,LHJK,ss
600187,国中水务,GZSW,ss
600188,兖州煤业,YZMY,ss
600189,吉林森工,JLSG,ss
600190,锦州港,JZG,ss
600191,华资实业,HZSY,ss
600192,长城电工,CCDG,ss
600193,创兴资源,CXZY,ss
600195,中牧股份,ZMGF,ss
600196,复星医药,FXYY,ss
600197,伊力特,YLT,ss
600198,大唐电信,DTDX,ss
600199,金种子酒,JZZJ,ss
600200,江苏吴中,JSWZ,ss
600201,生物股份,SWGF,ss
600202,哈空调,HKT,ss
600203,福日电子,FRDZ,ss
600206,有研新材,YYXC,ss
600207,安彩高科,ACGK,ss
600208,新湖中宝,XHZB,ss
600209,罗顿发展,LDFZ,ss
600210,紫江企业,ZJQY,ss
600211,西藏药业,XZYY,ss
600212,江泉实业,JQSY,ss
600213,亚星客车,YXKC,ss
600215,长春经开,CCJK,ss
600216,浙江医药,ZJYY,ss
600217,秦岭水泥,QLSN,ss
600218,全柴动力,QCDL,ss
600219,南山铝业,NSLY,ss
600220,江苏阳光,JSYG,ss
600221,海南航空,HNHK,ss
600222,太龙药业,TLYY,ss
600223,鲁商置业,LSZY,ss
600225,天津松江,TJSJ,ss
600226,升华拜克,SHBK,ss
600227,赤天化,CTH,ss
600228,昌九生化,CJSH,ss
600229,城市传媒,CSCM,ss
600230,沧州大化,CZDH,ss
600231,凌钢股份,LGGF,ss
600232,金鹰股份,JYGF,ss
600233,大杨创世,DYCS,ss
600234,山水文化,SSWH,ss
600235,民丰特纸,MFTZ,ss
600236,桂冠电力,GGDL,ss
600237,铜峰电子,TFDZ,ss
600238,海南椰岛,HNYD,ss
600239,云南城投,YNCT,ss
600240,华业资本,HYZB,ss
600241,时代万恒,SDWH,ss
600242,*ST中昌,*STZC,ss
600243,青海华鼎,QHHD,ss
600246,万通地产,WTDC,ss
600247,*ST成城,*STCC,ss
600248,延长化建,YCHJ,ss
600249,两面针,LMZ,ss
600250,南纺股份,NFGF,ss
600251,冠农股份,GNGF,ss
600252,中恒集团,ZHJT,ss
600255,鑫科材料,XKCL,ss
600256,广汇能源,GHNY,ss
600257,大湖股份,DHGF,ss
600258,首旅酒店,SLJD,ss
600259,广晟有色,GSYS,ss
600260,凯乐科技,KLKJ,ss
600261,阳光照明,YGZM,ss
600262,北方股份,BFGF,ss
600265,ST景谷,STJG,ss
600266,北京城建,BJCJ,ss
600267,海正药业,HZYY,ss
600268,国电南自,GDNZ,ss
600269,赣粤高速,GYGS,ss
600270,外运发展,WYFZ,ss
600271,航天信息,HTXX,ss
600272,开开实业,KKSY,ss
600273,嘉化能源,JHNY,ss
600275,武昌鱼,WCY,ss
600276,恒瑞医药,HRYY,ss
600277,亿利洁能,YLJN,ss
600278,东方创业,DFCY,ss
600279,重庆港九,CQGJ,ss
600280,中央商场,ZYSC,ss
600281,太化股份,THGF,ss
600282,南钢股份,NGGF,ss
600283,钱江水利,QJSL,ss
600284,浦东建设,PDJS,ss
600285,羚锐制药,LRZY,ss
600287,江苏舜天,JSST,ss
600288,大恒科技,DHKJ,ss
600289,亿阳信通,YYXT,ss
600290,华仪电气,HYDQ,ss
600291,西水股份,XSGF,ss
600292,中电远达,ZDYD,ss
600293,三峡新材,SXXC,ss
600295,鄂尔多斯,EEDS,ss
600297,广汇汽车,GHQC,ss
600298,安琪酵母,AQJM,ss
600299,安迪苏,ADS,ss
600300,维维股份,WWGF,ss
600301,*ST南化,*STNH,ss
600302,标准股份,BZGF,ss
600303,曙光股份,SGGF,ss
600305,恒顺醋业,HSCY,ss
600306,商业城,SYC,ss
600307,酒钢宏兴,JGHX,ss
600308,华泰股份,HTGF,ss
600309,万华化学,WHHX,ss
600310,桂东电力,GDDL,ss
600311,ST荣华,STRH,ss
600312,平高电气,PGDQ,ss
600313,农发种业,NFZY,ss
600315,上海家化,SHJH,ss
600316,洪都航空,HDHK,ss
600317,营口港,YKG,ss
600318,巢东股份,CDGF,ss
600319,亚星化学,YXHX,ss
600320,振华重工,ZHZG,ss
600321,国栋建设,GDJS,ss
600322,天房发展,TFFZ,ss
600323,瀚蓝环境,HLHJ,ss
600325,华发股份,HFGF,ss
600326,西藏天路,XZTL,ss
600327,大东方,DDF,ss
600328,兰太实业,LTSY,ss
600329,中新药业,ZXYY,ss
600330,天通股份,TTGF,ss
600331,宏达股份,HDGF,ss
600332,白云山,BYS,ss
600333,长春燃气,CCRQ,ss
600335,国机汽车,GJQC,ss
600336,澳柯玛,AKM,ss
600337,美克家居,MKJJ,ss
600338,西藏珠峰,XZZF,ss
600339,天利高新,TLGX,ss
600340,华夏幸福,HXXF,ss
600343,航天动力,HTDL,ss
600345,长江通信,CJTX,ss
600346,大橡塑,DXS,ss
600348,阳泉煤业,YQMY,ss
600350,山东高速,SDGS,ss
600351,亚宝药业,YBYY,ss
600352,浙江龙盛,ZJLS,ss
600353,旭光股份,XGGF,ss
600354,敦煌种业,DHZY,ss
600355,精伦电子,JLDZ,ss
600356,恒丰纸业,HFZY,ss
600358,国旅联合,GLLH,ss
600359,新农开发,XNKF,ss
600360,华微电子,HWDZ,ss
600361,华联综超,HLZC,ss
600362,江西铜业,JXTY,ss
600363,联创光电,LCGD,ss
600365,通葡股份,TPGF,ss
600366,宁波韵升,NBYS,ss
600367,红星发展,HXFZ,ss
600368,五洲交通,WZJT,ss
600369,西南证券,XNZQ,ss
600370,三房巷,SFX,ss
600371,万向德农,WXDN,ss
600372,中航电子,ZHDZ,ss
600373,中文传媒,ZWCM,ss
600375,华菱星马,HLXM,ss
600376,首开股份,SKGF,ss
600377,宁沪高速,NHGS,ss
600378,天科股份,TKGF,ss
600379,宝光股份,BGGF,ss
600380,健康元,JKY,ss
600381,青海春天,QHCT,ss
600382,广东明珠,GDMZ,ss
600383,金地集团,JDJT,ss
600385,山东金泰,SDJT,ss
600386,北巴传媒,BBCM,ss
600387,海越股份,HYGF,ss
600388,龙净环保,LJHB,ss
600389,江山股份,JSGF,ss
600390,金瑞科技,JRKJ,ss
600391,成发科技,CFKJ,ss
600392,盛和资源,SHZY,ss
600393,东华实业,DHSY,ss
600395,盘江股份,PJGF,ss
600396,金山股份,JSGF,ss
600397,安源煤业,AYMY,ss
600398,海澜之家,HLZJ,ss
600399,抚顺特钢,FSTG,ss
600400,红豆股份,HDGF,ss
600401,*ST海润,*STHR,ss
600403,大有能源,DYNY,ss
600405,动力源,DLY,ss
600406,国电南瑞,GDNR,ss
600408,安泰集团,ATJT,ss
600409,三友化工,SYHG,ss
600410,华胜天成,HSTC,ss
600415,小商品城,XSPC,ss
600416,湘电股份,XDGF,ss
600418,江淮汽车,JHQC,ss
600419,天润乳业,TRRY,ss
600420,现代制药,XDZY,ss
600421,仰帆控股,YFKG,ss
600422,昆药集团,KYJT,ss
600423,柳化股份,LHGF,ss
600425,青松建化,QSJH,ss
600426,华鲁恒升,HLHS,ss
600428,中远航运,ZYHY,ss
600429,三元股份,SYGF,ss
600432,吉恩镍业,JENY,ss
600433,冠豪高新,GHGX,ss
600435,北方导航,BFDH,ss
600436,片仔癀,PZH,ss
600438,通威股份,TWGF,ss
600439,瑞贝卡,RBK,ss
600444,*ST国通,*STGT,ss
600446,金证股份,JZGF,ss
600448,华纺股份,HFGF,ss
600449,宁夏建材,NXJC,ss
600452,涪陵电力,FLDL,ss
600455,博通股份,BTGF,ss
600456,宝钛股份,BTGF,ss
600458,时代新材,SDXC,ss
600459,贵研铂业,GYBY,ss
600460,士兰微,SLW,ss
600461,洪城水业,HCSY,ss
600462,石岘纸业,SXZY,ss
600463,空港股份,KGGF,ss
600466,蓝光发展,LGFZ,ss
600467,好当家,HDJ,ss
600468,百利电气,BLDQ,ss
600469,风神股份,FSGF,ss
600470,六国化工,LGHG,ss
600475,华光股份,HGGF,ss
600476,湘邮科技,XYKJ,ss
600477,杭萧钢构,HXGG,ss
600478,科力远,KLY,ss
600479,千金药业,QJYY,ss
600480,凌云股份,LYGF,ss
600481,双良节能,SLJN,ss
600482,风帆股份,FFGF,ss
600483,福能股份,FNGF,ss
600485,信威集团,XWJT,ss
600486,扬农化工,YNHG,ss
600487,亨通光电,HTGD,ss
600488,天药股份,TYGF,ss
600489,中金黄金,ZJHJ,ss
600490,鹏欣资源,PXZY,ss
600491,龙元建设,LYJS,ss
600493,凤竹纺织,FZFZ,ss
600495,晋西车轴,JXCZ,ss
600496,精工钢构,JGGG,ss
600497,驰宏锌锗,CHXZ,ss
600498,烽火通信,FHTX,ss
600499,科达洁能,KDJN,ss
600500,中化国际,ZHGJ,ss
600501,航天晨光,HTCG,ss
600502,安徽水利,AHSL,ss
600503,华丽家族,HLJZ,ss
600505,西昌电力,XCDL,ss
600506,香梨股份,XLGF,ss
600507,方大特钢,FDTG,ss
600508,上海能源,SHNY,ss
600509,天富能源,TFNY,ss
600510,黑牡丹,HMD,ss
600511,国药股份,GYGF,ss
600512,腾达建设,TDJS,ss
600513,联环药业,LHYY,ss
600515,海航基础,HHJC,ss
600516,方大炭素,FDTS,ss
600517,置信电气,ZXDQ,ss
600518,康美药业,KMYY,ss
600519,贵州茅台,GZMT,ss
600520,中发科技,ZFKJ,ss
600521,华海药业,HHYY,ss
600522,中天科技,ZTKJ,ss
600523,贵航股份,GHGF,ss
600525,长园集团,CYJT,ss
600526,菲达环保,FDHB,ss
600527,江南高纤,JNGX,ss
600528,中铁二局,ZTEJ,ss
600529,山东药玻,SDYB,ss
600530,交大昂立,JDAL,ss
600531,豫光金铅,YGJQ,ss
600532,宏达矿业,HDKY,ss
600533,栖霞建设,QXJS,ss
600535,天士力,TSL,ss
600536,中国软件,ZGRJ,ss
600537,亿晶光电,YJGD,ss
600538,国发股份,GFGF,ss
600539,*ST狮头,*STST,ss
600540,新赛股份,XSGF,ss
600543,莫高股份,MGGF,ss
600545,新疆城建,XJCJ,ss
600546,山煤国际,SMGJ,ss
600547,山东黄金,SDHJ,ss
600548,深高速,SGS,ss
600549,厦门钨业,XMWY,ss
600550,保变电气,BBDQ,ss
600551,时代出版,SDCB,ss
600552,方兴科技,FXKJ,ss
600555,海航创新,HHCX,ss
600556,慧球科技,HQKJ,ss
600557,康缘药业,KYYY,ss
600558,大西洋,DXY,ss
600559,老白干酒,LBGJ,ss
600560,金自天正,JZTZ,ss
600561,江西长运,JXCY,ss
600562,国睿科技,GRKJ,ss
600563,法拉电子,FLDZ,ss
600565,迪马股份,DMGF,ss
600566,济川药业,JCYY,ss
600567,山鹰纸业,SYZY,ss
600568,中珠控股,ZZKG,ss
600569,安阳钢铁,AYGT,ss
600570,恒生电子,HSDZ,ss
600571,信雅达,XYD,ss
600572,康恩贝,KEB,ss
600573,惠泉啤酒,HQPJ,ss
600575,皖江物流,WJWL,ss
600576,万家文化,WJWH,ss
600577,精达股份,JDGF,ss
600578,京能电力,JNDL,ss
600579,天华院,THY,ss
600580,卧龙电气,WLDQ,ss
600581,八一钢铁,BYGT,ss
600582,天地科技,TDKJ,ss
600583,海油工程,HYGC,ss
600584,长电科技,CDKJ,ss
600585,海螺水泥,HLSN,ss
600586,金晶科技,JJKJ,ss
600587,新华医疗,XHYL,ss
600588,用友网络,YYWL,ss
600589,广东榕泰,GDRT,ss
600590,泰豪科技,THKJ,ss
600592,龙溪股份,LXGF,ss
600593,大连圣亚,DLSY,ss
600594,益佰制药,YBZY,ss
600595,中孚实业,ZFSY,ss
600596,新安股份,XAGF,ss
600597,光明乳业,GMRY,ss
600598,北大荒,BDH,ss
600599,熊猫金控,XMJK,ss
600600,青岛啤酒,QDPJ,ss
600601,方正科技,FZKJ,ss
600602,仪电电子,YDDZ,ss
600603,*ST兴业,*STXY,ss
600604,市北高新,SBGX,ss
600605,汇通能源,HTNY,ss
600606,绿地控股,LDKG,ss
600608,*ST沪科,*STHK,ss
600609,金杯汽车,JBQC,ss
600610,中毅达,ZYD,ss
600611,大众交通,DZJT,ss
600612,老凤祥,LFX,ss
600613,神奇制药,SQZY,ss
600614,鼎立股份,DLGF,ss
600615,丰华股份,FHGF,ss
600616,金枫酒业,JFJY,ss
600617,国新能源,GXNY,ss
600618,氯碱化工,LJHG,ss
600619,海立股份,HLGF,ss
600620,天宸股份,TCGF,ss
600621,华鑫股份,HXGF,ss
600622,嘉宝集团,JBJT,ss
600623,双钱股份,SQGF,ss
600624,复旦复华,FDFH,ss
600626,申达股份,SDGF,ss
600628,新世界,XSJ,ss
600629,华建集团,HJJT,ss
600630,龙头股份,LTGF,ss
600633,浙报传媒,ZBCM,ss
600634,中技控股,ZJKG,ss
600635,大众公用,DZGY,ss
600636,三爱富,SAF,ss
600637,东方明珠,DFMZ,ss
600638,新黄浦,XHP,ss
600639,浦东金桥,PDJQ,ss
600640,号百控股,HBKG,ss
600641,万业企业,WYQY,ss
600642,申能股份,SNGF,ss
600643,爱建集团,AJJT,ss
600644,乐山电力,LSDL,ss
600645,中源协和,ZYXH,ss
600647,同达创业,TDCY,ss
600648,外高桥,WGQ,ss
600649,城投控股,CTKG,ss
600650,锦江投资,JJTZ,ss
600651,飞乐音响,FLYX,ss
600652,游久游戏,YJYX,ss
600653,申华控股,SHKG,ss
600654,中安消,ZAX,ss
600655,豫园商城,YYSC,ss
600656,*ST博元,*STBY,ss
600657,信达地产,XDDC,ss
600658,电子城,DZC,ss
600660,福耀玻璃,FYBL,ss
600661,新南洋,XNY,ss
600662,强生控股,QSKG,ss
600663,陆家嘴,LJZ,ss
600664,哈药股份,HYGF,ss
600665,天地源,TDY,ss
600666,奥瑞德,ARD,ss
600667,太极实业,TJSY,ss
600668,尖峰集团,JFJT,ss
600671,天目药业,TMYY,ss
600673,东阳光科,DYGK,ss
600674,川投能源,CTNY,ss
600675,中华企业,ZHQY,ss
600676,交运股份,JYGF,ss
600677,航天通信,HTTX,ss
600678,四川金顶,SCJD,ss
600679,上海凤凰,SHFH,ss
600680,上海普天,SHPT,ss
600681,万鸿集团,WHJT,ss
600682,南京新百,NJXB,ss
600683,京投银泰,JTYT,ss
600684,珠江实业,ZJSY,ss
600685,中船防务,ZCFW,ss
600686,金龙汽车,JLQC,ss
600687,刚泰控股,GTKG,ss
600688,上海石化,SHSH,ss
600689,上海三毛,SHSM,ss
600690,青岛海尔,QDHE,ss
600691,*ST阳化,*STYH,ss
600692,亚通股份,YTGF,ss
600693,东百集团,DBJT,ss
600694,大商股份,DSGF,ss
600695,绿庭投资,LTTZ,ss
600696,匹凸匹,PTP,ss
600697,欧亚集团,OYJT,ss
600698,湖南天雁,HNTY,ss
600699,均胜电子,JSDZ,ss
600701,工大高新,GDGX,ss
600702,沱牌舍得,TPSD,ss
600703,三安光电,SAGD,ss
600704,物产中大,WCZD,ss
600705,中航资本,ZHZB,ss
600706,曲江文旅,QJWL,ss
600707,彩虹股份,CHGF,ss
600708,光明地产,GMDC,ss
600710,*ST常林,*STCL,ss
600711,盛屯矿业,CTKY,ss
600712,南宁百货,NNBH,ss
600713,南京医药,NJYY,ss
600714,金瑞矿业,JRKY,ss
600715,松辽汽车,SLQC,ss
600716,凤凰股份,FHGF,ss
600717,天津港,TJG,ss
600718,东软集团,DRJT,ss
600719,大连热电,DLRD,ss
600720,祁连山,QLS,ss
600721,*ST百花,*STBH,ss
600722,金牛化工,JNHG,ss
600723,首商股份,SSGF,ss
600724,宁波富达,NBFD,ss
600725,云维股份,YWGF,ss
600726,华电能源,HDNY,ss
600727,鲁北化工,LBHG,ss
600728,佳都科技,JDKJ,ss
600729,重庆百货,CQBH,ss
600730,中国高科,ZGGK,ss
600731,湖南海利,HNHL,ss
600732,*ST新梅,*STXM,ss
600733,S前锋,SQF,ss
600734,实达集团,SDJT,ss
600735,新华锦,XHJ,ss
600736,苏州高新,SZGX,ss
600737,中粮屯河,ZLTH,ss
600738,兰州民百,LZMB,ss
600739,辽宁成大,LNCD,ss
600740,山西焦化,SXJH,ss
600741,华域汽车,HYQC,ss
600742,一汽富维,YQFW,ss
600743,华远地产,HYDC,ss
600744,华银电力,HYDL,ss
600745,中茵股份,ZYGF,ss
600746,江苏索普,JSSP,ss
600747,大连控股,DLKG,ss
600748,上实发展,SSFZ,ss
600749,西藏旅游,XZLY,ss
600750,江中药业,JZYY,ss
600751,天海投资,THTZ,ss
600753,东方银星,DFYX,ss
600754,锦江股份,JJGF,ss
600755,厦门国贸,XMGM,ss
600756,浪潮软件,LCRJ,ss
600757,长江传媒,CJCM,ss
600758,红阳能源,HYNY,ss
600759,洲际油气,ZJYQ,ss
600760,中航黑豹,ZHHB,ss
600761,安徽合力,AHHL,ss
600763,通策医疗,TCYL,ss
600764,中电广通,ZDGT,ss
600765,中航重机,ZHZJ,ss
600766,园城黄金,YCHJ,ss
600767,运盛医疗,YSYL,ss
600768,宁波富邦,NBFB,ss
600769,祥龙电业,XLDY,ss
600770,综艺股份,ZYGF,ss
600771,广誉远,GYY,ss
600773,西藏城投,XZCT,ss
600774,汉商集团,HSJT,ss
600775,南京熊猫,NJXM,ss
600776,东方通信,DFTX,ss
600777,新潮实业,XCSY,ss
600778,友好集团,YHJT,ss
600779,*ST水井,*STSJ,ss
600780,通宝能源,TBNY,ss
600781,辅仁药业,FRYY,ss
600782,新钢股份,XGGF,ss
600783,鲁信创投,LXCT,ss
600784,鲁银投资,LYTZ,ss
600785,新华百货,XHBH,ss
600787,中储股份,ZCGF,ss
600789,鲁抗医药,LKYY,ss
600790,轻纺城,QFC,ss
600791,京能置业,JNZY,ss
600792,云煤能源,YMNY,ss
600793,ST宜纸,STYZ,ss
600794,保税科技,BSKJ,ss
600795,国电电力,GDDL,ss
600796,钱江生化,QJSH,ss
600797,浙大网新,ZDWX,ss
600798,宁波海运,NBHY,ss
600800,天津磁卡,TJCK,ss
600801,华新水泥,HXSN,ss
600802,福建水泥,FJSN,ss
600803,新奥股份,XAGF,ss
600804,鹏博士,PBS,ss
600805,悦达投资,YDTZ,ss
600806,昆明机床,KMJC,ss
600807,天业股份,TYGF,ss
600808,马钢股份,MGGF,ss
600809,山西汾酒,SXFJ,ss
600810,神马股份,SMGF,ss
600811,东方集团,DFJT,ss
600812,华北制药,HBZY,ss
600814,杭州解百,HZJB,ss
600815,厦工股份,XGGF,ss
600816,安信信托,AXXT,ss
600817,ST宏盛,STHS,ss
600818,中路股份,ZLGF,ss
600819,耀皮玻璃,YPBL,ss
600820,隧道股份,SDGF,ss
600821,津劝业,JQY,ss
600822,上海物贸,SHWM,ss
600823,世茂股份,SMGF,ss
600824,益民集团,YMJT,ss
600825,新华传媒,XHCM,ss
600826,兰生股份,LSGF,ss
600827,百联股份,BLGF,ss
600828,成商集团,CSJT,ss
600829,人民同泰,RMTT,ss
600830,香溢融通,XYRT,ss
600831,广电网络,GDWL,ss
600833,第一医药,DYYY,ss
600834,申通地铁,STDT,ss
600835,上海机电,SHJD,ss
600836,界龙实业,JLSY,ss
600837,海通证券,HTZQ,ss
600838,上海九百,SHJB,ss
600839,四川长虹,SCCH,ss
600841,上柴股份,SCGF,ss
600843,上工申贝,SGSB,ss
600844,丹化科技,DHKJ,ss
600845,宝信软件,BXRJ,ss
600846,同济科技,TJKJ,ss
600847,万里股份,WLGF,ss
600848,上海临港,SHLG,ss
600850,华东电脑,HDDN,ss
600851,海欣股份,HXGF,ss
600853,龙建股份,LJGF,ss
600854,春兰股份,CLGF,ss
600855,航天长峰,HTCF,ss
600856,中天能源,ZTNY,ss
600857,宁波中百,NBZB,ss
600858,银座股份,YZGF,ss
600859,王府井,WFJ,ss
600860,京城股份,JCGF,ss
600861,北京城乡,BJCX,ss
600862,南通科技,NTKJ,ss
600863,内蒙华电,NMHD,ss
600864,哈投股份,HTGF,ss
600865,百大集团,BDJT,ss
600866,星湖科技,XHKJ,ss
600867,通化东宝,THDB,ss
600868,梅雁吉祥,MYJX,ss
600869,智慧能源,ZHNY,ss
600870,*ST厦华,*STXH,ss
600871,石化油服,SHYF,ss
600872,中炬高新,ZJGX,ss
600873,梅花生物,MHSW,ss
600874,创业环保,CYHB,ss
600875,东方电气,DFDQ,ss
600876,洛阳玻璃,LYBL,ss
600877,中国嘉陵,ZGJL,ss
600879,航天电子,HTDZ,ss
600880,博瑞传播,BRCB,ss
600881,亚泰集团,YTJT,ss
600882,华联矿业,HLKY,ss
600883,博闻科技,BWKJ,ss
600884,杉杉股份,SSGF,ss
600885,宏发股份,HFGF,ss
600886,国投电力,GTDL,ss
600887,伊利股份,YLGF,ss
600888,新疆众和,XJZH,ss
600889,南京化纤,NJHX,ss
600890,中房股份,ZFGF,ss
600891,秋林集团,QLJT,ss
600892,宝诚股份,BCGF,ss
600893,中航动力,ZHDL,ss
600894,广日股份,GRGF,ss
600895,张江高科,ZJGK,ss
600896,中海海盛,ZHHS,ss
600897,厦门空港,XMKG,ss
600898,三联商社,SLSS,ss
600900,长江电力,CJDL,ss
600917,重庆燃气,CQRQ,ss
600958,东方证券,DFZQ,ss
600959,江苏有线,JSYX,ss
600960,渤海活塞,BHHS,ss
600961,株冶集团,ZYJT,ss
600962,*ST中鲁,*STZL,ss
600963,岳阳林纸,YYLZ,ss
600965,福成五丰,FCWF,ss
600966,博汇纸业,BHZY,ss
600967,北方创业,BFCY,ss
600969,郴电国际,CDGJ,ss
600970,中材国际,ZCGJ,ss
600971,恒源煤电,HYMD,ss
